Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Main Page,10,109,103,126,126,132,97,132,0.000%,.36853,0.38,0.07
Main JS Bundle,10,70,59,83,83,131,54,131,0.000%,.36888,27.47,0.08
Main CSS Bundle,10,66,64,74,74,80,57,80,0.000%,.36847,27.44,0.08
Login,10,77101,82546,103336,103336,104372,11617,104372,0.000%,.07608,0.12,0.02
My Bookings,10,18117,18480,24097,24097,26710,7899,26710,0.000%,.07646,0.30,0.03
Approved Events,10,10040,12012,16956,16956,24427,269,24427,0.000%,.08119,0.35,0.03
TOTAL,60,17584,132,75441,100332,103336,54,104372,0.000%,.39231,10.45,0.10
